food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
NONIND_0458,Cookedrice+homogenisedcookedpakchoy,Non-Indian reference food,91.0,Henry et al. GI tables (non-Indian cohort),72.8,65.5,80.1,High,0.88,100,80.0,Original country: China. Renamed generically for Indian audience.
NONIND_0459,Cookedrice+cookedcauliflower,Non-Indian reference food,73.0,Henry et al. GI tables (non-Indian cohort),56.1,50.5,61.7,High,0.88,100,76.9,Original country: China. Renamed generically for Indian audience.
NONIND_0460,Cookedrice+homogenisedrawCauliflower,Non-Indian reference food,83.0,Henry et al. GI tables (non-Indian cohort),63.8,57.4,70.2,High,0.88,100,76.9,Original country: China. Renamed generically for Indian audience.
NONIND_0461,Cookedrice+homogenisedcooked,Non-Indian reference food,85.0,Henry et al. GI tables (non-Indian cohort),65.3,58.8,71.9,High,0.88,100,76.9,Original country: China. Renamed generically for Indian audience.
NONIND_0462,Cookedrice+cookedeggplant,Non-Indian reference food,67.0,Henry et al. GI tables (non-Indian cohort),54.2,48.8,59.7,High,0.88,100,80.9,Original country: China. Renamed generically for Indian audience.
NONIND_0463,Cookedrice+homogenisedraweggplant,Non-Indian reference food,93.0,Henry et al. GI tables (non-Indian cohort),75.3,67.7,82.8,High,0.88,100,80.9,Original country: China. Renamed generically for Indian audience.
NONIND_0464,Cookedrice+homogenisedcookedeggplant,Non-Indian reference food,78.0,Henry et al. GI tables (non-Indian cohort),63.1,56.8,69.4,High,0.88,100,80.9,Original country: China. Renamed generically for Indian audience.
NONIND_0465,,Non-Indian reference food,30.0,Henry et al. GI tables (non-Indian cohort),76887.0,69198.3,84575.7,High,0.88,100,256290.0,Original country: China. Renamed generically for Indian audience.
NONIND_0466,,Non-Indian reference food,30.0,Henry et al. GI tables (non-Indian cohort),69198.3,62278.5,76118.1,High,0.88,100,230661.0,Original country: China. Renamed generically for Indian audience.
NONIND_0467,,Non-Indian reference food,60.0,Henry et al. GI tables (non-Indian cohort),115330.5,103797.4,126863.6,High,0.88,100,192217.5,Original country: China. Renamed generically for Indian audience.
NONIND_0468,,Non-Indian reference food,30.0,Henry et al. GI tables (non-Indian cohort),86521.1,77869.0,95173.2,High,0.88,100,288403.8,Original country: China. Renamed generically for Indian audience.
NONIND_0469,,Non-Indian reference food,60.0,Henry et al. GI tables (non-Indian cohort),230723.0,207650.7,253795.3,High,0.88,100,384538.3,Original country: China. Renamed generically for Indian audience.
NONIND_0470,,Non-Indian reference food,30.0,Henry et al. GI tables (non-Indian cohort),69225.0,62302.5,76147.5,High,0.88,100,230750.0,Original country: China. Renamed generically for Indian audience.
NONIND_0471,,Non-Indian reference food,60.0,Henry et al. GI tables (non-Indian cohort),125863.6,113277.3,138450.0,High,0.88,100,209772.7,Original country: China. Renamed generically for Indian audience.
NONIND_0472,,Non-Indian reference food,30.0,Henry et al. GI tables (non-Indian cohort),76913.3,69222.0,84604.7,High,0.88,100,256377.8,Original country: China. Renamed generically for Indian audience.
NONIND_0473,,Non-Indian reference food,60.0,Henry et al. GI tables (non-Indian cohort),197777.1,177999.4,217554.9,High,0.88,100,329628.6,Original country: China. Renamed generically for Indian audience.
NONIND_0474,,Non-Indian reference food,30.0,Henry et al. GI tables (non-Indian cohort),138465.6,124619.0,152312.2,High,0.88,100,461552.0,Original country: China. Renamed generically for Indian audience.
NONIND_0475,,Non-Indian reference food,60.0,Henry et al. GI tables (non-Indian cohort),197808.0,178027.2,217588.8,High,0.88,100,329680.0,Original country: China. Renamed generically for Indian audience.
NONIND_0476,,Non-Indian reference food,40.0,Henry et al. GI tables (non-Indian cohort),230831.0,207747.9,253914.1,High,0.88,100,577077.5,Original country: China. Renamed generically for Indian audience.
