food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
BASE_0061,Donut Chocolate,Western desserts,38,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Chocolate cake made from packet mix' (GI 38, GL 20 per 111g).",18.0,16.2,19.8,Medium,0.9,100,46.8,"Matched score=75. Source row: 4 Chocolate cake made from packet mix 38±3 54 Normal, 10 Glucose, 2h UO4 111 52 20"
BASE_0064,Ice Cream Vanilla,Western desserts,43,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Le Rice®, Vanilla flavor' (GI 43, GL 16 per 180g).",8.9,8.0,9.8,Low,0.9,100,20.6,"Matched score=59. Source row: 839 Le Rice®, Vanilla flavor 43±4 61 Normal, 10 Glucose, 2h UO4 180 37 16"
BASE_0065,Ice Cream Chocolate,Western desserts,29,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Chocolate deluxe8' (GI 29, GL 2 per 50g).",4.0,3.6,4.4,Low,0.9,100,16.0,"Matched score=69. Source row: 1163 Chocolate deluxe8 29±3 41 Normal, 10 Glucose, 2h UO4 50 8 2"
BASE_0067,Soft Drink Orange,Western beverages,68,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Fanta®, orange soft drink' (GI 68, GL 23 per 250g).",9.2,8.3,10.1,Low,0.9,100,13.6,"Matched score=67. Source row: 48 Fanta®, orange soft drink 68±6 97 Normal, 7 Bread, 2h 1 250 mL 34 23"
BASE_0072,Milkshake Chocolate,Western beverages,29,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Chocolate deluxe8' (GI 29, GL 2 per 50g).",4.0,3.6,4.4,Low,0.9,100,16.0,"Matched score=69. Source row: 1163 Chocolate deluxe8 29±3 41 Normal, 10 Glucose, 2h UO4 50 8 2"
BASE_0074,Hot Chocolate,Western beverages,51,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Complete Hot Chocolate mix made with' (GI 51, GL 12 per 250g).",4.8,4.3,5.3,Low,0.9,100,9.2,"Matched score=100. Source row: 85 Complete Hot Chocolate mix made with 51±3 73 Normal, 10 Glucose, 2h UO4 250 mL 23 12"
BASE_0086,Potato Skins,Western mains,17,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Potato noodles with meat (China)' (GI 17, GL 8 per 300g).",2.7,2.4,3.0,Low,0.9,100,16.3,"Matched score=67. Source row: 1230 Potato noodles with meat (China) 17±3 24 Normal, 9 Glucose, 2h 3 300 49 8"
BASE_0087,Loaded Potato,Western mains,17,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Potato noodles with meat (China)' (GI 17, GL 8 per 300g).",2.7,2.4,3.0,Low,0.9,100,16.3,"Matched score=63. Source row: 1230 Potato noodles with meat (China) 17±3 24 Normal, 9 Glucose, 2h 3 300 49 8"
BASE_0088,Blondie Dessert,Western mains,61,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Figs, dried, tenderised, Dessert Maid brand' (GI 61, GL 16 per 60g).",26.7,24.0,29.4,High,0.9,100,43.3,"Matched score=64. Source row: 979 Figs, dried, tenderised, Dessert Maid brand 61±6 87 Normal, 10 Glucose, 2h UO4 60 26 16"
BASE_0089,Chocolate Mousse,Western mains,29,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Chocolate deluxe8' (GI 29, GL 2 per 50g).",4.0,3.6,4.4,Low,0.9,100,16.0,"Matched score=73. Source row: 1163 Chocolate deluxe8 29±3 41 Normal, 10 Glucose, 2h UO4 50 8 2"
BASE_0093,Cereal Bar,Western mains,57,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Cereal flakes with fruit (30 g), consumed with 125 mL' (GI 57, GL 16 per 155g).",10.3,9.3,11.3,Medium,0.9,100,18.7,"Matched score=75. Source row: 450 Cereal flakes with fruit (30 g), consumed with 125 mL 57±8 82 Normal, 10 Glucose, 2h 32 155 29 16"
BASE_0096,Rice Bowl Chicken,Western mains,82,"International Tables of GI & GL (Atkinson et al., 2008): matched to 'Rice cake (China)' (GI 82, GL 17 per 25g).",68.0,61.2,74.8,High,0.9,100,84.0,"Matched score=65. Source row: 728 Rice cake (China) 82±3 117 Normal, 8 Glucose, 2h 3 25 21 17"
