food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
NONIND_0781,Sukkary,Non-Indian reference food,43.4,Henry et al. GI tables (non-Indian cohort),28.0,25.2,30.7,High,0.88,100,64.4,Original country: SaudiArabia. Renamed generically for Indian audience.
NONIND_0782,Shaqra,Non-Indian reference food,42.8,Henry et al. GI tables (non-Indian cohort),32.0,28.8,35.2,High,0.88,100,74.7,Original country: SaudiArabia. Renamed generically for Indian audience.
NONIND_0783,Bourgoulabanadoura,Non-Indian reference food,50.1,Henry et al. GI tables (non-Indian cohort),6.0,5.4,6.6,Low,0.88,100,11.9,Original country: Lebanon. Renamed generically for Indian audience.
NONIND_0784,Fattithommos,Non-Indian reference food,37.2,Henry et al. GI tables (non-Indian cohort),8.3,7.4,9.1,Low,0.88,100,22.2,Original country: Lebanon. Renamed generically for Indian audience.
NONIND_0785,Loubiehbzet,Non-Indian reference food,12.8,Henry et al. GI tables (non-Indian cohort),2.7,2.4,2.9,Low,0.88,100,20.8,Original country: Lebanon. Renamed generically for Indian audience.
NONIND_0786,Meghleh,Non-Indian reference food,49.5,Henry et al. GI tables (non-Indian cohort),6.3,5.7,7.0,Low,0.88,100,12.8,Original country: Lebanon. Renamed generically for Indian audience.
NONIND_0787,Mehshemalfouf,Non-Indian reference food,67.9,Henry et al. GI tables (non-Indian cohort),6.5,5.8,7.1,Low,0.88,100,9.5,Original country: Lebanon. Renamed generically for Indian audience.
NONIND_0788,Pizza,Non-Indian reference food,56.0,Henry et al. GI tables (non-Indian cohort),29.2,26.3,32.1,High,0.88,100,52.1,Original country: Lebanon. Renamed generically for Indian audience.
NONIND_0789,Rizadgeg,Non-Indian reference food,57.3,Henry et al. GI tables (non-Indian cohort),4.8,4.3,5.3,Low,0.88,100,8.3,Original country: Lebanon. Renamed generically for Indian audience.
NONIND_0790,Rizbihalib,Non-Indian reference food,56.8,Henry et al. GI tables (non-Indian cohort),17.2,15.5,18.9,Medium,0.88,100,30.3,Original country: Lebanon. Renamed generically for Indian audience.
NONIND_0791,Sfouf,Non-Indian reference food,48.6,Henry et al. GI tables (non-Indian cohort),34.7,31.2,38.2,High,0.88,100,71.4,Original country: Lebanon. Renamed generically for Indian audience.
NONIND_0792,Siyadieh,Non-Indian reference food,14.6,Henry et al. GI tables (non-Indian cohort),1.7,1.5,1.9,Low,0.88,100,11.6,Original country: Lebanon. Renamed generically for Indian audience.
